,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.url.urls,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.user.entities.url.urls
7,Fri Jan 24 20:52:43 +0000 2020,1220811692545847298,1220811692545847298,@Union_Soton @unisouthampton If only there was any guarantee on EU tuition fees and eligibility to study in the UK after 31st January 😭 #EU #BetterTogether,False,"[29, 155]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2200291627376108e+18,1220029162737610753,102019392.0,102019392,Union_Soton,,,,,False,0,0,False,False,en,"[{'text': 'EU', 'indices': [136, 139]}, {'text': 'BetterTogether', 'indices': [140, 155]}]",[],"[{'screen_name': 'Union_Soton', 'name': 'SUSU', 'id': 102019392, 'id_str': '102019392', 'indices': [0, 12]}, {'screen_name': 'unisouthampton', 'name': 'University of Southampton', 'id': 26203004, 'id_str': '26203004', 'indices': [13, 28]}]",[],en,recent,1215350108478410761,1215350108478410761,Marika Klauza,KlauzaMarika,"Southampton, England",Student Nurse (MSc Adult Nursing)👩🏼‍⚕️ #WeUoSNurses @unisouthampton #YNM2020 | First Responder @enhanced_c_s 🚑 | Volunteer @stjohnambulance,,,[],False,27,72,0,Thu Jan 09 19:10:30 +0000 2020,52,,,False,False,41,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1215350364331003906/HWvoqixJ_normal.jpg,https://pbs.twimg.com/profile_images/1215350364331003906/HWvoqixJ_normal.jpg,https://pbs.twimg.com/profile_banners/1215350108478410761/1578598551,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Fri Jan 24 20:35:00 +0000 2020,1220807232004198408,1220807232004198408,@Sustainable_UoS @unisouthampton Which building is this in please?,False,"[33, 66]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220724357170942e+18,1220724357170941955,454057562.0,454057562,Sustainable_UoS,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'Sustainable_UoS', 'name': 'Sustainable Soton', 'id': 454057562, 'id_str': '454057562', 'indices': [0, 16]}, {'screen_name': 'unisouthampton', 'name': 'University of Southampton', 'id': 26203004, 'id_str': '26203004', 'indices': [17, 32]}]",[],en,recent,1215350108478410761,1215350108478410761,Marika Klauza,KlauzaMarika,"Southampton, England",Student Nurse (MSc Adult Nursing)👩🏼‍⚕️ #WeUoSNurses @unisouthampton #YNM2020 | First Responder @enhanced_c_s 🚑 | Volunteer @stjohnambulance,,,[],False,27,72,0,Thu Jan 09 19:10:30 +0000 2020,52,,,False,False,41,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1215350364331003906/HWvoqixJ_normal.jpg,https://pbs.twimg.com/profile_images/1215350364331003906/HWvoqixJ_normal.jpg,https://pbs.twimg.com/profile_banners/1215350108478410761/1578598551,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Fri Jan 24 19:47:36 +0000 2020,1220795306138329088,1220795306138329088,RT @Dr_Ifty_Ahmed: @VCMarkESmith @orctweets @unisouthampton I have my own glass fibre manufacturing facilities too...😁,False,"[0, 118]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,1,0,False,False,en,[],[],"[{'screen_name': 'Dr_Ifty_Ahmed', 'name': 'Ifty Ahmed', 'id': 1005072378559434753, 'id_str': '1005072378559434753', 'indices': [3, 17]}, {'screen_name': 'VCMarkESmith', 'name': 'Mark E Smith', 'id': 924942226123259905, 'id_str': '924942226123259905', 'indices': [19, 32]}, {'screen_name': 'orctweets', 'name': 'ORC Southampton', 'id': 2213967338, 'id_str': '2213967338', 'indices': [33, 43]}, {'screen_name': 'unisouthampton', 'name': 'University of Southampton', 'id': 26203004, 'id_str': '26203004', 'indices': [44, 59]}]",[],en,recent,924942226123259905,924942226123259905,Mark E Smith,VCMarkESmith,,"Official account of Professor Mark E Smith, Vice-Chancellor of @unisouthampton - a founder member of the Russell Group and a top 100 university",https://t.co/FjY97XlUHA,"[{'url': 'https://t.co/FjY97XlUHA', 'expanded_url': 'http://www.southampton.ac.uk/', 'display_url': 'southampton.ac.uk', 'indices': [0, 23]}]",[],False,1522,352,6,Mon Oct 30 10:13:06 +0000 2017,1376,,,False,False,1863,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/924945503187587073/Ks5Bg76R_normal.jpg,https://pbs.twimg.com/profile_images/924945503187587073/Ks5Bg76R_normal.jpg,https://pbs.twimg.com/profile_banners/924942226123259905/1569876553,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,Fri Jan 24 16:17:15 +0000 2020,1.2207423682505318e+18,1220742368250531840,@VCMarkESmith @orctweets @unisouthampton I have my own glass fibre manufacturing facilities too...😁,False,"[41, 99]",[],[],"[{'screen_name': 'VCMarkESmith', 'name': 'Mark E Smith', 'id': 924942226123259905, 'id_str': '924942226123259905', 'indices': [0, 13]}, {'screen_name': 'orctweets', 'name': 'ORC Southampton', 'id': 2213967338, 'id_str': '2213967338', 'indices': [14, 24]}, {'screen_name': 'unisouthampton', 'name': 'University of Southampton', 'id': 26203004, 'id_str': '26203004', 'indices': [25, 40]}]",[],en,recent,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2207101162044498e+18,1220710116204449794,9.249422261232599e+17,924942226123259905,VCMarkESmith,1.0050723785594348e+18,1005072378559434753,Ifty Ahmed,Dr_Ifty_Ahmed,,"Associate Professor at University of Nottingham: Bioengineer, Biomaterials and Advanced Materials researcher (and part-time petrol head)",,[],False,419.0,496.0,2.0,Fri Jun 08 13:01:43 +0000 2018,5846.0,,,False,False,1950.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1128363901400358915/STUSrkMM_normal.jpg,https://pbs.twimg.com/profile_images/1128363901400358915/STUSrkMM_normal.jpg,https://pbs.twimg.com/profile_banners/1005072378559434753/1535556627,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,1.0,1.0,False,False,en,
21,Fri Jan 24 15:58:28 +0000 2020,1220737639588028416,1220737639588028416,RT @elearnUoS: Thank you @immerseme_vr for offering free subscription: we have a winner here at @ModernLangs @unisouthampton #elearn2020,False,"[0, 136]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,1,0,False,False,en,"[{'text': 'elearn2020', 'indices': [125, 136]}]",[],"[{'screen_name': 'elearnUoS', 'name': 'eLearning Symposium', 'id': 1100747833, 'id_str': '1100747833', 'indices': [3, 13]}, {'screen_name': 'immerseme_vr', 'name': 'ImmerseMe', 'id': 752130660584742913, 'id_str': '752130660584742913', 'indices': [25, 38]}, {'screen_name': 'ModernLangs', 'name': 'Modern Lang&Ling UoS', 'id': 61283773, 'id_str': '61283773', 'indices': [96, 108]}, {'screen_name': 'unisouthampton', 'name': 'University of Southampton', 'id': 26203004, 'id_str': '26203004', 'indices': [109, 124]}]",[],en,recent,1107707463393050631,1107707463393050631,Dounia Boumaza دنيا بومعزة 🇩🇿,BoumazaDounya,United Kingdom,"EFL teacher.
PhD researcher @unisouthampton. Interested in English as a Multi Lingua Franca.",,,[],False,64,166,0,Mon Mar 18 18:16:54 +0000 2019,927,,,False,False,123,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1200899946901377028/aegP99nr_normal.jpg,https://pbs.twimg.com/profile_images/1200899946901377028/aegP99nr_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,,,,,,,Fri Jan 24 15:57:49 +0000 2020,1.2207374782834033e+18,1220737478283403265,Thank you @immerseme_vr for offering free subscription: we have a winner here at @ModernLangs @unisouthampton #elearn2020,False,"[0, 121]","[{'text': 'elearn2020', 'indices': [110, 121]}]",[],"[{'screen_name': 'immerseme_vr', 'name': 'ImmerseMe', 'id': 752130660584742913, 'id_str': '752130660584742913', 'indices': [10, 23]}, {'screen_name': 'ModernLangs', 'name': 'Modern Lang&Ling UoS', 'id': 61283773, 'id_str': '61283773', 'indices': [81, 93]}, {'screen_name': 'unisouthampton', 'name': 'University of Southampton', 'id': 26203004, 'id_str': '26203004', 'indices': [94, 109]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1100747833.0,1100747833,eLearning Symposium,elearnUoS,,The elearning symposium is an annual conference about the use of technology in Higher Education. #elearn2020,https://t.co/oy4VkzrOxU,[],False,399.0,466.0,6.0,Fri Jan 18 11:43:37 +0000 2013,319.0,,,True,False,913.0,,False,False,False,9AE4E8,http://abs.twimg.com/images/themes/theme16/bg.gif,https://abs.twimg.com/images/themes/theme16/bg.gif,False,http://pbs.twimg.com/profile_images/1194222128037531648/o6OK39QZ_normal.jpg,https://pbs.twimg.com/profile_images/1194222128037531648/o6OK39QZ_normal.jpg,https://pbs.twimg.com/profile_banners/1100747833/1573556125,0084B4,BDDCAD,DDFFCC,333333,True,False,False,False,False,False,False,none,,,,,False,1.0,2.0,False,False,en,"[{'url': 'https://t.co/oy4VkzrOxU', 'expanded_url': 'https://generic.wordpress.soton.ac.uk/elearningsymposium2020/', 'display_url': 'generic.wordpress.soton.ac.uk/elearningsympo…', 'indices': [0, 23]}]"
24,Fri Jan 24 13:21:09 +0000 2020,1220698050051674115,1220698050051674115,@ArtsUniSouth @unisouthampton Welcome Jen!,False,"[30, 42]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2195576888431657e+18,1219557688843165697,7.448505195130102e+17,744850519513010179,ArtsUniSouth,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'ArtsUniSouth', 'name': 'Arts at University of Southampton', 'id': 744850519513010179, 'id_str': '744850519513010179', 'indices': [0, 13]}, {'screen_name': 'unisouthampton', 'name': 'University of Southampton', 'id': 26203004, 'id_str': '26203004', 'indices': [14, 29]}]",[],en,recent,394618475,394618475,John Hansard Gallery,JHansardGallery,"142-144 Above Bar Street, Southampton, UK","Internationally recognised contemporary art gallery in #Southampton, UK. Part of @unisouthampton, supported by @ace_national. Free Entry • #johnhansardgallery",https://t.co/iKEWLtGjyV,"[{'url': 'https://t.co/iKEWLtGjyV', 'expanded_url': 'http://www.jhg.art', 'display_url': 'jhg.art', 'indices': [0, 23]}]",[],False,4487,2089,107,Thu Oct 20 11:04:11 +0000 2011,4541,,,True,False,5141,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/900346983747026946/TjSgOBoL_normal.jpg,https://pbs.twimg.com/profile_images/900346983747026946/TjSgOBoL_normal.jpg,https://pbs.twimg.com/profile_banners/394618475/1579013840,0B2161,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Fri Jan 24 13:20:41 +0000 2020,1220697931696812035,1220697931696812035,@ArtsUniSouth @mollybethellis @unisouthampton @ShowstoppersSot @TurnerSims @Union_Soton Welcome Molly!,False,"[88, 102]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2203390853378785e+18,1220339085337878528,7.448505195130102e+17,744850519513010179,ArtsUniSouth,,,,,False,0,4,False,False,en,[],[],"[{'screen_name': 'ArtsUniSouth', 'name': 'Arts at University of Southampton', 'id': 744850519513010179, 'id_str': '744850519513010179', 'indices': [0, 13]}, {'screen_name': 'mollybethellis', 'name': 'Molly Ellis', 'id': 2953992279, 'id_str': '2953992279', 'indices': [14, 29]}, {'screen_name': 'unisouthampton', 'name': 'University of Southampton', 'id': 26203004, 'id_str': '26203004', 'indices': [30, 45]}, {'screen_name': 'ShowstoppersSot', 'name': 'Showstoppers', 'id': 558139529, 'id_str': '558139529', 'indices': [46, 62]}, {'screen_name': 'TurnerSims', 'name': 'Turner Sims', 'id': 161228535, 'id_str': '161228535', 'indices': [63, 74]}, {'screen_name': 'Union_Soton', 'name': 'SUSU', 'id': 102019392, 'id_str': '102019392', 'indices': [75, 87]}]",[],en,recent,394618475,394618475,John Hansard Gallery,JHansardGallery,"142-144 Above Bar Street, Southampton, UK","Internationally recognised contemporary art gallery in #Southampton, UK. Part of @unisouthampton, supported by @ace_national. Free Entry • #johnhansardgallery",https://t.co/iKEWLtGjyV,"[{'url': 'https://t.co/iKEWLtGjyV', 'expanded_url': 'http://www.jhg.art', 'display_url': 'jhg.art', 'indices': [0, 23]}]",[],False,4487,2089,107,Thu Oct 20 11:04:11 +0000 2011,4541,,,True,False,5141,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/900346983747026946/TjSgOBoL_normal.jpg,https://pbs.twimg.com/profile_images/900346983747026946/TjSgOBoL_normal.jpg,https://pbs.twimg.com/profile_banners/394618475/1579013840,0B2161,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Fri Jan 24 12:19:11 +0000 2020,1220682456401170432,1220682456401170432,@mcmwright @ISVRsouthampton @UoSEngineering @Gladwell @lborouniversity @unisouthampton Thank you for the amazing information @mcmwright! We have added it to our records for future reference!HartleySpecialC,False,"[87, 205]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2204840932107018e+18,1220484093210701824,225908507.0,225908507,mcmwright,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'mcmwright', 'name': 'Matthew Wright♿', 'id': 225908507, 'id_str': '225908507', 'indices': [0, 10]}, {'screen_name': 'ISVRsouthampton', 'name': 'ISVRsouthampton', 'id': 1497981414, 'id_str': '1497981414', 'indices': [11, 27]}, {'screen_name': 'UoSEngineering', 'name': 'UoSEngineering', 'id': 2396322025, 'id_str': '2396322025', 'indices': [28, 43]}, {'screen_name': 'Gladwell', 'name': 'Malcolm Gladwell', 'id': 17889970, 'id_str': '17889970', 'indices': [44, 53]}, {'screen_name': 'lborouniversity', 'name': 'Loughborough University', 'id': 63094620, 'id_str': '63094620', 'indices': [54, 70]}, {'screen_name': 'unisouthampton', 'name': 'University of Southampton', 'id': 26203004, 'id_str': '26203004', 'indices': [71, 86]}, {'screen_name': 'mcmwright', 'name': 'Matthew Wright♿', 'id': 225908507, 'id_str': '225908507', 'indices': [125, 135]}]",[],en,recent,1042767454102016001,1042767454102016001,University of Southampton Special Collections,hartleyspecialc,"Southampton, England","The Special Collections houses archive and named printed and rare book collections at the Hartley Library, University of Southampton.",https://t.co/qcTo2DLICI,"[{'url': 'https://t.co/qcTo2DLICI', 'expanded_url': 'https://www.southampton.ac.uk/archives', 'display_url': 'southampton.ac.uk/archives', 'indices': [0, 23]}]",[],False,441,42,2,Thu Sep 20 13:28:29 +0000 2018,495,,,False,False,612,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1042773909144252421/DVp5Z1nJ_normal.jpg,https://pbs.twimg.com/profile_images/1042773909144252421/DVp5Z1nJ_normal.jpg,https://pbs.twimg.com/profile_banners/1042767454102016001/1537451458,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Fri Jan 24 11:25:26 +0000 2020,1220668931037331456,1220668931037331456,"RT @MJGriksaitis: Problem with #POCUS teaching is we start too late. We need to teach in undergrad #MedEd 

The future is handheld #ultraso…",False,"[0, 140]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,,False,4,0,False,False,en,"[{'text': 'POCUS', 'indices': [31, 37]}, {'text': 'MedEd', 'indices': [99, 105]}]",[],"[{'screen_name': 'MJGriksaitis', 'name': 'Michael Griksaitis', 'id': 2564121263, 'id_str': '2564121263', 'indices': [3, 16]}]",[],en,recent,2757934276,2757934276,James Woodward,jwoodward264,,"2nd year Medical Student UoS
                     Southampton Medsoc Secretary",,,[],False,190,250,1,Mon Sep 01 05:07:59 +0000 2014,314,,,False,False,92,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1220668763072278528/uq9Q6J50_normal.jpg,https://pbs.twimg.com/profile_images/1220668763072278528/uq9Q6J50_normal.jpg,https://pbs.twimg.com/profile_banners/2757934276/1558384051,3B94D9,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,Thu Jan 23 17:56:13 +0000 2020,1.2204048879865405e+18,1220404887986540544,"Problem with #POCUS teaching is we start too late. We need to teach in undergrad #MedEd 

The future is handheld #ultrasound assessment. Let’s train doctors from the start. 

Exciting to meet @ScottBorder1 &amp; @s_d_morton to discuss big research ideas @UoS_Medicine @unisouthampton",False,"[0, 283]","[{'text': 'POCUS', 'indices': [13, 19]}, {'text': 'MedEd', 'indices': [81, 87]}, {'text': 'ultrasound', 'indices': [113, 124]}]",[],"[{'screen_name': 'ScottBorder1', 'name': 'Scott Border', 'id': 714059539, 'id_str': '714059539', 'indices': [192, 205]}, {'screen_name': 's_d_morton', 'name': 'Stuart Morton', 'id': 883335685, 'id_str': '883335685', 'indices': [212, 223]}, {'screen_name': 'UoS_Medicine', 'name': 'Southampton Medicine', 'id': 143428730, 'id_str': '143428730', 'indices': [254, 267]}, {'screen_name': 'unisouthampton', 'name': 'University of Southampton', 'id': 26203004, 'id_str': '26203004', 'indices': [268, 283]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,2564121263.0,2564121263,Michael Griksaitis,MJGriksaitis,"Southampton, England","Consultant #PedsICU @UHSFT. Faculty @UoS_Medicine. Lead for SORT paediatric transport service. Interest #physiology, #POCUS & #MedEd. #SoMe team @PedCritCareMed",https://t.co/6WvcMOY1xR,[],False,1973.0,558.0,17.0,Sun May 25 21:02:21 +0000 2014,2191.0,,,True,False,2848.0,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/901191976527310852/QhkIu_I3_normal.jpg,https://pbs.twimg.com/profile_images/901191976527310852/QhkIu_I3_normal.jpg,https://pbs.twimg.com/profile_banners/2564121263/1503695888,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,False,4.0,40.0,False,False,en,"[{'url': 'https://t.co/6WvcMOY1xR', 'expanded_url': 'http://www.sort.nhs.uk', 'display_url': 'sort.nhs.uk', 'indices': [0, 23]}]"
